///////////////////////////////////////////////////////////////
// Scripted by THINH NGUYEN
// File: VIDsOnlyFromEventXp.txt
// Version: 1.0
// Date: Sat Aug 31 23:37:44 2019
//
// This file is to configure all ECIDs, RPTIDs, VIDs. WARNING!!!
// DO NOT_EDIT without reading first.
// All comments should follow the format being used and seen.
// The last line should be an empty line.
//
VID : $02050030 : 33882160 : Clock : 
VID : $02000010 : 33554448 : ControlState : 
VID : $05010020 : 83951648 : LimitVariable : 
VID : $05010010 : 83951632 : EventLimit : 
VID : $05010030 : 83951664 : TransitionType : 
VID : $02030010 : 33751056 : SpoolCountActual : 
VID : $02030020 : 33751072 : SpoolCountTotal : 
VID : $02030040 : 33751104 : SpoolStartTime : 
VID : $05040010 : 84148240 : AlarmID : 
VID : $05040020 : 84148256 : AlarmState : 
VID : $05040030 : 84148272 : AlarmStateMsg : 
VID : $05052350 : 84222800 : PortLocID : 
VID : $05052340 : 84222784 : PortCarrierID : 
VID : $05050010 : 84213776 : EquipmentConstantID : 
VID : $050525C0 : 84223424 : ECChangeData : 
VID : $05050030 : 84213808 : PPChangeStatus : 
VID : $05050040 : 84213824 : PPChangeName : 
VID : $0515D570 : 85316976 : PPChangeMethod : 
VID : $05050080 : 84213888 : PPExecName : 
VID : $05050070 : 84213872 : PPCheckMsg : 
VID : $05050090 : 84213904 : OperatorCommand : 
VID : $050500A0 : 84213920 : CommandOption : 
VID : $05050020 : 84213792 : OperatorID : 
VID : $02050110 : 33882384 : ProcessState : 
VID : $02050120 : 33882400 : PreviousProcessState : 
VID : $02050291 : 33882769 : RC1State : 
VID : $02050292 : 33882770 : RC2State : 
VID : $02050293 : 33882771 : RC3State : 
VID : $02050294 : 33882772 : RC4State : 
VID : $02050295 : 33882773 : RC5State : 
VID : $020502A1 : 33882785 : PreviousRC1State : 
VID : $020502A2 : 33882786 : PreviousRC2State : 
VID : $020502A3 : 33882787 : PreviousRC3State : 
VID : $020502A4 : 33882788 : PreviousRC4State : 
VID : $020502A5 : 33882789 : PreviousRC5State : 
VID : $05050190 : 84214160 : ProcWC : 
VID : $050501A0 : 84214176 : ProcWS : 
VID : $05050130 : 84214064 : ProcRC : 
VID : $05050140 : 84214080 : ProcRCSeq : 
VID : $05050180 : 84214144 : EndStat : 
VID : $05050160 : 84214112 : ProcStartTime : 
VID : $05050170 : 84214128 : ProcEndTime : 
VID : $05050150 : 84214096 : ProcRCStepData : 
VID : $05050280 : 84214400 : ProcRCDepoCount1 : 
VID : $05050290 : 84214416 : ProcRCDepoCount2 : 
VID : $050502A0 : 84214432 : ProcRCDepoCount3 : 
VID : $050502B0 : 84214448 : ProcRCDepoCount4 : 
VID : $050502C0 : 84214464 : ProcRCDepoCount5 : 
VID : $050502D0 : 84214480 : ProcRCDepoCount6 : 
VID : $050502E0 : 84214496 : ProcRCDepoCount7 : 
VID : $050502F0 : 84214512 : ProcRCDepoCount8 : 
VID : $05050300 : 84214528 : ProcRCDepoCount9 : 
VID : $05050310 : 84214544 : ProcRCDepoCount10 : 
VID : $05050320 : 84214560 : ProcRCDepoCount11 : 
VID : $05050330 : 84214576 : ProcRCDepoCount12 : 
VID : $05050340 : 84214592 : ProcRCDepoCount13 : 
VID : $05050350 : 84214608 : ProcRCDepoCount14 : 
VID : $05050360 : 84214624 : ProcRCDepoCount15 : 
VID : $05050370 : 84214640 : ProcRCDepoCount16 : 
VID : $05050380 : 84214656 : ProcRCDepoCount17 : 
VID : $05050390 : 84214672 : ProcRCDepoCount18 : 
VID : $050503A0 : 84214688 : ProcRCDepoCount19 : 
VID : $050503B0 : 84214704 : ProcRCDepoCount20 : 
VID : $050503C0 : 84214720 : ProcRCEtchCount1 : 
VID : $050503D0 : 84214736 : ProcRCEtchCount2 : 
VID : $050503E0 : 84214752 : ProcRCEtchCount3 : 
VID : $050503F0 : 84214768 : ProcRCEtchCount4 : 
VID : $05050400 : 84214784 : ProcRCEtchCount5 : 
VID : $05050410 : 84214800 : ProcRCEtchCount6 : 
VID : $05050420 : 84214816 : ProcRCEtchCount7 : 
VID : $05050430 : 84214832 : ProcRCEtchCount8 : 
VID : $05050440 : 84214848 : ProcRCEtchCount9 : 
VID : $05050450 : 84214864 : ProcRCEtchCount10 : 
VID : $05050460 : 84214880 : ProcRCEtchCount11 : 
VID : $05050470 : 84214896 : ProcRCEtchCount12 : 
VID : $05050480 : 84214912 : ProcRCEtchCount13 : 
VID : $05050490 : 84214928 : ProcRCEtchCount14 : 
VID : $050504A0 : 84214944 : ProcRCEtchCount15 : 
VID : $050504B0 : 84214960 : ProcRCEtchCount16 : 
VID : $050504C0 : 84214976 : ProcRCEtchCount17 : 
VID : $050504D0 : 84214992 : ProcRCEtchCount18 : 
VID : $050504E0 : 84215008 : ProcRCEtchCount19 : 
VID : $050504F0 : 84215024 : ProcRCEtchCount20 : 
VID : $05050110 : 84214032 : ProcPPName : 
VID : $05050120 : 84214048 : ProcProRcpName : 
VID : $050501B0 : 84214192 : ProcRealWC : 
VID : $050501C0 : 84214208 : ProcSetWC : 
VID : $05051700 : 84219648 : ProcRCDataSetAI0 : 
VID : $05051710 : 84219664 : ProcRCDataSetAI1 : 
VID : $05051720 : 84219680 : ProcRCDataSetAI2 : 
VID : $05051730 : 84219696 : ProcRCDataSetAI3 : 
VID : $05051740 : 84219712 : ProcRCDataSetAI4 : 
VID : $05051750 : 84219728 : ProcRCDataSetAI5 : 
VID : $05051760 : 84219744 : ProcRCDataSetAI6 : 
VID : $05051770 : 84219760 : ProcRCDataSetAI7 : 
VID : $05051780 : 84219776 : ProcRCDataSetAI8 : 
VID : $05051790 : 84219792 : ProcRCDataSetAI9 : 
VID : $050517A0 : 84219808 : ProcRCDataSetAI10 : 
VID : $050517B0 : 84219824 : ProcRCDataSetAI11 : 
VID : $050517C0 : 84219840 : ProcRCDataSetAI12 : 
VID : $050517D0 : 84219856 : ProcRCDataSetAI13 : 
VID : $050517E0 : 84219872 : ProcRCDataSetAI14 : 
